					Normalized Odds Ratio	Libraries (out of 6)	Normalized Odds Ratio	Libraries (out of 3)	Normalized Odds Ratio	Libraries (out of 3)
yghJ	uhpT.EST3UTR	CDS	3UTR	-10	126.2	6				
C0343.fnrS.IGR	arcZ	IGR	sRNA	-12.07			124.9	U		
acrR.AS	arcZ	AS	sRNA	-2.98	36.7	1	123.7	3	23.9	2
cfa	ybiJ.ybiC.IGR	CDS	IGR	-10.19	76.9	1			122.3	2
glcA.yghJ.IGR	uhpT.EST3UTR	IGR	3UTR	-5.73					121.2	1
gcvT.ubiI.IGR	uhpT.EST3UTR	IGR	3UTR	-1.44					120.2	U
mdtK	oxyS	CDS	sRNA	-10.63	87.5	U			116.7	1
focA	rprA	CDS	sRNA	-11.34	115.2	1	39.6	3	64.2	2
ilvX	cpxP.3UTR	CDS	3UTR	-3.82	21.6	1	113.1	2		
iraP.ddlA.IGR	uhpT.EST3UTR	IGR	3UTR	-5.97					112.9	U
yshB	fadA.fre.IGR	CDS	IGR	-8.76					112.4	1
gmr	xylB.xylA.IGT	CDS	IGT	-4.75			111.9	U		
yqeC	arcZ	CDS	sRNA	-12.65	8.8	6	110.6	2	45.8	2
arrS	nlpD	cis_AS_with_trans_t	CDS	-8.56			27.0	3	110.6	U
folM.EST3UTR	arcZ	3UTR	sRNA	-15.27	107.3	2	69.6	2	52.2	3
hisM.AS	arcZ	AS	sRNA	-5.37			106.4	U		
yncD	mgrR	CDS	sRNA	-10.45			105.1	U		
rihC	omrB	CDS	sRNA	-7.12	97.4	4	94.4	U	104.5	3
yiaV.AS	arcZ	AS	sRNA	-9.98	38.1	U	103.5	2	52.8	1
ybiJ.ybiC.IGR	yfdK.yfdI.IGR	IGR	IGR	-8.06			102.1	U	14.0	U
csiR	gabP	CDS	CDS	-7.31			101.7	U		
ariR.ymgC.IGT	sieB.kilR.IGR	IGT	IGR	-2.65			100.3	U		
minD	ykgH.EST3UTR	CDS	3UTR	-12.1	27.7	6	98.8	2	49.6	3
insH-1	G0-10697	CDS	other-ncRNA	-5.37	32.7	5	97.6	3	61.2	3
yihG	cpxP.3UTR	CDS	3UTR	-5.43	95.8	U	5.4	U	46.2	U
dmsA	xylB.xylA.IGT	CDS	IGT	-8.26	33.8	1	95.7	2		
ydaM	rprA	CDS	sRNA	-7.47			94.4	2		
yifK	gcvB	CDS	sRNA	-6.6	8.1	6	92.8	3	16.0	3
yciX	rprA	CDS	sRNA	-5.9			90.9	2		
ybiJ.ybiC.IGR	pncB.EST3UTR	IGR	3UTR	-3.67			68.7	U	89.9	2
mepS	ymfH	CDS	CDS	-9.01	55.1	3			88.8	2
ydfK	ykgH.EST3UTR	CDS	3UTR	-4.54	37.2	5	88.0	2	40.5	1
cspF.ydfT.IGR	uhpT.EST3UTR	IGR	3UTR	-13	2.2	1	87.4	U	7.3	2
hypE.3UTR	oxyS	3UTR	sRNA	-4.86	83.2	5				
gntP	omrB	CDS	sRNA	-12.53	42.0	U	78.0	U	40.6	2
ariR.ymgC.IGT	ftsA.ftsZ.IGT	IGT	IGT	-9.78			77.9	3		
rlmI	arcZ	CDS	sRNA	-13.17	13.1	2	77.0	3	13.6	3
kgtP	yihO	CDS	CDS	-3.15			76.3	U		
ydaN.AS	arcZ	AS	sRNA	-7.05	75.7	4			57.8	3
hsdR	rprA	CDS	sRNA	-8.08	75.5	U	10.4	U		
yghJ	micA	CDS	sRNA	-8.91	12.9	2	22.5	1	74.3	2
gntU	cyaR	CDS	sRNA	-10.66	33.5	6	47.4	3	74.1	3
nrdE	arcZ	CDS	sRNA	-13.37			74.0	U	9.3	3
yfcA.AS	mgrR	AS	sRNA	-7.3					73.9	U
frsA	nhaR.insAB-1.IGR	CDS	IGR	-11.47					72.0	1
rpoS	rprA	CDS	sRNA	-9.25	71.1	4	45.9	3	51.6	3
mutS	arcZ	CDS	sRNA	-5.71			70.1	2	27.3	3
rcnB	arcZ	CDS	sRNA	-5.55	10.2	U	70.0	2	29.0	3
yjcH	omrB	CDS	sRNA	-7.19			69.6	3		
ycbZ	mgrR	CDS	sRNA	-9.5	24.5	6	65.6	2	69.1	3
yciZ	rprA	CDS	sRNA	-10.5	69.1	U	33.2	1	25.9	1
raiA	ygdI	CDS	CDS	-4.67			67.4	3		
uhpT	yghJ	CDS	CDS	-7.97					67.2	U
ycgB	sdsR	CDS	sRNA	-6.43			66.9	2		
ybcY	mgrR	CDS	sRNA	-14.91	66.7	U			48.6	U
yhaI.EST3UTR	arcZ	3UTR	sRNA	-3.03	66.3	U				
ydjX.AS	uhpT.EST3UTR	AS	3UTR	-8.32	36.3	U			65.7	2
yicL	cyaR	CDS	sRNA	-13.32	13.5	3	9.1	2	65.1	3
sieB.kilR.IGR	uspF.ynaE.IGR	IGR	IGR	-15.25			65.0	U		
loiP	speB.AS	CDS	AS	-7.18					64.9	1
yfaY	uhpT.EST3UTR	CDS	3UTR	-6.35	53.2	3			64.9	3
tdcG.yhaO.IGR	fnrS	IGR	sRNA	-9.68	2.3	6	64.7	1	9.6	2
insH-10	G0-10697	CDS	other-ncRNA	-1.5			64.7	1		
mcrA	cpxP.3UTR	CDS	3UTR	-2.76			62.8	1		
uspB	ykgH.EST3UTR	CDS	3UTR	-1.58			62.7	1		
yjdM	sucD.EST3UTR	CDS	3UTR	-6.1	18.4	3	10.5	3	62.4	2
marR	fnrS	CDS	sRNA	-11.81	3.0	1	61.2	U	4.9	1
ytfK	minE.ycgI.IGR	CDS	IGR	-5.31			60.9	2		
malP.malT.IGR	mgrR	IGR	sRNA	-10.7			60.8	2	15.8	1
crl	nhaR.insAB-1.IGR	CDS	IGR	-14.99	55.5	U	56.0	1	60.3	1
opgD	arcZ	CDS	sRNA	-8.62	5.0	U	60.0	2	38.9	3
ubiX.argT.IGR	gcvB	IGR	sRNA	-25.09	33.6	6	24.2	3	57.2	3
ptsP	fadA.fre.IGR	CDS	IGR	-7.69			56.6	U		
insI-2.ydbC.IGR	arcZ	IGR	sRNA	-8	20.7	3	33.3	3	56.2	2
insH-1	insL-1.AS	CDS	AS	-2.09	56.0	U				
gadE.mdtE.IGT (gadF)	rffC	IGT	CDS	-10.66			55.9	U		
crl	insB-1.AS	CDS	AS	-13.44			55.2	1		
uhpT	glcA.yghJ.IGR	CDS	IGR	-10.2	54.9	1				
uspF.ynaE.IGR	ykgH.EST3UTR	IGR	3UTR	-6.37	15.1	6	54.4	3	23.6	1
fbp.EST3UTR	arcZ	3UTR	sRNA	-7.39			53.2	1	20.0	1
yidI	cyaR	CDS	sRNA	-15.16	35.0	6	52.4	3	47.4	3
G0-10697	insH-2.ybcQ.IGR	other-ncRNA	IGR	-4.47	6.5	1	52.0	2	20.4	1
fhuA.fhuC.IGT	malG.3UTR	IGT	3UTR	-5.14	51.3	U			10.0	2
waaU	rprA	CDS	sRNA	-6.27			51.0	2		
insH-1	insH-1.ykfC.IGR	CDS	IGR	-6.4	45.7	U	51.0	U		
sbmA	rprA	CDS	sRNA	-11.45			18.9	U	50.7	U
purT	cyaR	CDS	sRNA	-10.84			21.1	1	49.9	U
yjiT.mcrC.IGR	rprA	IGR	sRNA	-7.02			49.6	U		
hisQ	ubiX.argT.IGR	CDS	IGR	-7.01			49.3	1		
yobA	fnrS	CDS	sRNA	-15.67	7.9	6	49.2	3	15.8	3
flhD	secF.EST3UTR	CDS	3UTR	-7.81	48.6	U			32.6	1
fdhD.fdoG.IGR	rprA	IGR	sRNA	-11.6	16.7	U	16.2	3	48.6	2
cstA	minE.ycgI.IGR	CDS	IGR	-0.93			48.5	1		
ydcD	cpxP.3UTR	CDS	3UTR	-12.83			48.0	1		
mgtL.mgtA.IGT	ykgH.EST3UTR	IGT	3UTR	-8.91	28.9	6	18.4	U	47.1	3
hsdS	arcZ	CDS	sRNA	-12.39			47.1	1	13.2	1
shiA	ryhB	CDS	sRNA	-9.44					46.8	3
maeA	yodB.serU.IGR	CDS	IGR	-10.42			46.8	U	16.8	U
ybfL	micA	CDS	sRNA	-3.21					46.5	1
atpI	oxyS	CDS	sRNA	-10.56	14.4	U			46.3	1
dsbA	micL	CDS	sRNA	-4.91			46.3	1		
malG	arcZ	CDS	sRNA	-7.98	9.1	5	46.2	3	12.5	3
xylB.xylA.IGT	yieP	IGT	CDS	-12.03			46.2	U		
araJ	cpxP.3UTR	CDS	3UTR	-12.16	46.0	U	33.2	3	38.5	1
osmB	ymfH	CDS	CDS	-1.4			45.8	1		
lptD	malG.3UTR	CDS	3UTR	-8.44			45.7	1		
rutG	cyaR	CDS	sRNA	-16.25	14.6	U	21.2	1	45.5	2
ydbJ	glpX.3UTR	CDS	3UTR	-10.46	23.2	U	45.5	1		
G0-10698	sdsR	other-ncRNA	sRNA	-7.45			45.1	3		
yncE	ryhB	CDS	sRNA	-15.93	44.5	U			3.7	3
waaL.AS	waaU	AS	CDS	-9.87					44.5	U
ptsG	ybjD	CDS	CDS	-5.62					43.9	U
ompC	ybiJ.ybiC.IGR	CDS	IGR	-13.35	8.4	3	43.6	3	9.2	3
dinI.EST3UTR	fnrS	3UTR	sRNA	-5.74	4.4	5	43.5	3	10.4	U
amn	mgrR	CDS	sRNA	-12.43	16.2	3	18.2	2	43.0	3
ygdQ	mgrR	CDS	sRNA	-10.35	42.9	6	31.9	3	33.1	3
fhuA.fhuC.IGT	oxyS	IGT	sRNA	-6.32					42.9	2
zupT.ribB.IGR	arcZ	IGR	sRNA	-3.8			42.3	U		
pheT	ves	CDS	CDS	-13.74	41.9	U				
mutY.AS	mgrR	AS	sRNA	-3.07			41.8	1		
insG	omrB	CDS	sRNA	-5.27					41.7	1
yahO	minE.ycgI.IGR	CDS	IGR	-4.08			41.1	U		
fepD	insL-1.AS	CDS	AS	-10.48					40.7	U
brnQ.phoR.IGR	arcZ	IGR	sRNA	-2.9	40.4	U				
polB.AS	cyaR	AS	sRNA	-5.6	40.1	4	16.2	2	6.4	1
gcvP.gcvH.IGT	greA	IGT	CDS	-7.25	7.0	U	40.1	1		
aegA	arcZ	CDS	sRNA	-11.23	17.5	6	39.9	2	35.0	2
yfdY	cyaR	CDS	sRNA	-10.83	30.5	6	23.7	3	39.9	3
aceF	lacA.3UTR	CDS	3UTR	-5.03	39.9	U				
ybfL	arcZ	CDS	sRNA	-3.83			39.5	U	21.8	U
ilvL.ilvX.IGT	cpxP.3UTR	IGT	3UTR	-3.82					38.8	U
aqpZ	cyaR	CDS	sRNA	-10.41					38.8	U
yfgM	narP.ccmH.IGR	CDS	IGR	-9.91	5.1	U	38.4	2	10.5	U
ligA	arcZ	CDS	sRNA	-4.94	6.9	1	38.3	3	17.9	3
ampE	cyaR	CDS	sRNA	-10.58	21.7	6	37.8	3	13.7	3
yebZ	mgrR	CDS	sRNA	-13.36	14.9	6	37.0	3	24.8	2
ompW	malG.3UTR	CDS	3UTR	-18.73			36.8	2		
yadD	cpxP.3UTR	CDS	3UTR	-21.15	8.4	U	36.6	3	23.3	1
tehA	cpxP.3UTR	CDS	3UTR	-19.06	35.9	U	19.9	3	25.1	1
gadE.mdtE.IGT (gadF)	kptA	IGT	CDS	-1.63			35.8	1		
nemA	uhpT	CDS	CDS	-4.92					35.8	U
gnsB	uhpT.EST3UTR	CDS	3UTR	-9.39	12.7	6	35.6	2	16.0	3
yjjU	cyaR	CDS	sRNA	-8.08	32.4	1	35.4	3	27.2	2
eutB.AS	malG.3UTR	AS	3UTR	-8.94	21.9	U	35.2	2	7.9	1
ariR.ymgC.IGT	ymfH	IGT	CDS	-14.18			34.8	U		
araJ	cyaR	CDS	sRNA	-10.23	34.8	6	17.7	3	31.6	3
ychH	rdlA.ldrB.IGR	CDS	IGR	-9.46	34.3	U				
yqjH	rprA	CDS	sRNA	-5.44					34.2	U
smrA.mcaS.IGR	glnA.3UTR	IGR	3UTR	-4.71					33.8	3
allR	ftsA.ftsZ.IGT	CDS	IGT	-15.02	33.8	U	10.6	3	5.8	U
mdtK	nlpD	CDS	CDS	-11.61			33.6	2	23.9	1
waaL.AS	arcZ	AS	sRNA	-11.43	10.4	2	33.5	2	26.5	2
zapC	sdsR	CDS	sRNA	-11.11			33.1	2		
yafU.yafV.IGR	cpxP.3UTR	IGR	3UTR	-3.74			33.1	U		
glmS.glmU.IGT	glmZ	IGT	sRNA	-9.59	13.2	6	16.3	3	32.9	3
pspG.qor.IGR (PspH)	spf	IGR	sRNA	-6.36	11.8	6	32.7	2	9.0	3
crl	insAB-1	CDS	CDS	-11.06			32.6	1		
cof	G0-10700.bcr.IGR	CDS	IGR	-14.57			32.6	U		
ydiJ	sucD.EST3UTR	CDS	3UTR	-7.06	3.9	U	32.3	3	7.4	2
ybiT	uhpT.EST3UTR	CDS	3UTR	-2.68					32.2	U
cydD	micA	CDS	sRNA	-11.62			32.1	2	10.8	1
proV	sgrS	CDS	sRNA	-11.81					32.1	1
yebO	cyaR	CDS	sRNA	-10.48	22.0	6	18.4	3	32.0	3
yghJ	arcZ	CDS	sRNA	-16.99	12.1	1			32.0	2
ykgH.EST3UTR	etk.EST3UTR	3UTR	3UTR	-3.57			32.0	U		
ylaC.maa.IGR	arcZ	IGR	sRNA	-3.92			31.8	U		
zitB	cpxP.3UTR	CDS	3UTR	-7.22			31.7	1		
cfa	cpxP.3UTR	CDS	3UTR	-10.98	11.0	5	16.4	3	31.7	3
ydaN	cyaR	CDS	sRNA	-14.13	7.1	U	10.6	U	31.3	2
insA-7	mgrR	CDS	sRNA	-14.8	31.3	6	19.3	1	5.6	3
truA	cpxP.3UTR	CDS	3UTR	-9.62	23.4	5	14.4	3	31.2	3
melA.melR.IGR	mcaS	IGR	sRNA	-9.12	12.8	U			31.2	1
ymfH	yncL	CDS	CDS	-3.08			31.1	2		
potE	arcZ	CDS	sRNA	-6.99			31.0	1	9.2	1
lldP	fnrS	CDS	sRNA	-8.58			31.0	U	3.8	1
sdhC	ryhB	CDS	sRNA	-13.71			30.7	U	21.1	3
nfrA	arcZ	CDS	sRNA	-7.79			30.6	2	26.0	U
insH-3.lnt.IGR	sdsR	IGR	sRNA	-2.42			30.6	1		
araH.AS	glnA.3UTR	AS	3UTR	-4.71			29.9	U	29.6	1
nlpD	ybiJ.ybiC.IGR	CDS	IGR	-11.09	16.7	U	29.7	3	21.1	3
lpxM	mgrR	CDS	sRNA	-9.65	26.4	1	13.1	U	29.5	3
rbsD	arcZ	CDS	sRNA	-18.18	29.4	6	24.3	3	13.1	3
paaX	cpxP.3UTR	CDS	3UTR	-13.34	16.8	U	29.3	3	22.3	U
napF	arcZ	CDS	sRNA	-15.91	18.4	6	29.2	3	8.5	3
ycdT	omrB	CDS	sRNA	-5.82	28.2	U			28.8	U
cof	nagE	CDS	CDS	-15.43	7.9	5	28.7	1	16.9	3
aphA	sdsR	CDS	sRNA	-9.09			28.6	2		
ytfK	bhsA.EST3UTR	CDS	3UTR	-2.6			28.6	2		
mepS	oxyS	CDS	sRNA	-13.37	11.4	U			28.5	2
yejO	cyaR	CDS	sRNA	-11.97	12.5	5	28.4	2	14.5	3
entS	cpxP.3UTR	CDS	3UTR	-6.7					28.4	1
alaA.lrhA.IGR	glpX.3UTR	IGR	3UTR	-6.66	7.3	U	28.3	2	17.4	1
leuZ.yecA.IGR	ryhB	IGR	sRNA	-13.64	28.2	1			0.0	3
ydbK	oxyS	CDS	sRNA	-14.28	28.1	U				
entD	arcZ	CDS	sRNA	-13.52			27.9	U	1.5	U
ydcF	mcaS	CDS	sRNA	-9.74	27.5	1	18.6	3	27.6	2
thrL	yjtD	CDS	CDS	2.47					27.6	2
pck	micA	CDS	sRNA	-10.04	1.4	6	27.4	3	4.4	3
emrA	cpxP.3UTR	CDS	3UTR	-14.16	14.4	2	11.9	3	26.7	1
rcnB	omrB	CDS	sRNA	-10.32	13.7	U	26.6	3	13.0	1
csgD	omrB	CDS	sRNA	-14.3			18.9	3	26.6	1
gadE.mdtE.IGT (gadF)	rssA	IGT	CDS	-2.23			26.5	1		
ymbA	arcZ	CDS	sRNA	-5.75	5.2	U	26.4	2	3.5	1
yifK	cpxP.3UTR	CDS	3UTR	-12.76			15.0	U	26.4	U
borD	omrB	CDS	sRNA	-10.39			26.2	U	6.8	3
ibpB	mcaS	CDS	sRNA	-5.82	26.0	3	12.6	2	13.7	3
bax	rprA	CDS	sRNA	-10.31	26.0	U	6.7	3		
ybcM	rprA	CDS	sRNA	-7.88			25.8	2		
narK.narG.IGR	yafP.pepD.IGR	IGR	IGR	-4.09					25.8	U
yqeB	cpxP.3UTR	CDS	3UTR	-16.51	3.8	U	25.8	3	14.0	U
fadL	rybB	CDS	sRNA	-12.64	4.0	1	25.0	1	25.7	1
ybfL	cpxP.3UTR	CDS	3UTR	-3.73			25.5	U		
bacA	mcaS	CDS	sRNA	-6.32	8.6	U			25.5	2
fumC	sdsR	CDS	sRNA	-8.92			25.4	3		
yphC	arcZ	CDS	sRNA	-7.21			25.4	2		
ccmF	micA	CDS	sRNA	-1.31			25.4	U		
artI	sdsR	CDS	sRNA	-7.28			25.1	3		
dctA	fadA.fre.IGR	CDS	IGR	-4.38			25.1	1		
G0-10697	insH-4.ynaJ.IGR	other-ncRNA	IGR	-3.35	24.9	U				
fepA	rnk	CDS	CDS	-5.37					24.8	U
gadY	yjbB	cis_AS_with_trans_t	CDS	-10.65			24.8	U		
wbbH	cyaR	CDS	sRNA	-7.53	2.7	1	24.4	3	9.1	3
ychE	uhpT.EST3UTR	CDS	3UTR	-6.03					24.4	U
rcsB	rprA	CDS	sRNA	-6.29	23.9	U	8.6	3		
lysR	arcZ	CDS	sRNA	-5.8	21.9	1	23.8	2	8.5	1
aceK	gatR_1	CDS	CDS	-15.24			23.7	2		
yfaZ	mgrR	CDS	sRNA	-14.87	16.5	U			23.7	2
tamA	sdsR	CDS	sRNA	-9.31			23.6	1		
ompF	micF	CDS	sRNA	-13.82	7.8	6	15.7	3	23.5	3
yncL	mcaS	CDS	sRNA	-6.64	8.7	6	11.8	3	23.4	3
dtpB.uspA.IGR	cpxP.3UTR	IGR	3UTR	-4.57			23.4	U		
uhpT	yejL	CDS	CDS	-13.03	23.3	U			10.6	2
fecA	ibpB	CDS	CDS	-8.51					23.2	3
hupB	nuoA.lrhA.IGR	CDS	IGR	-10.08					23.2	1
crfC	rprA	CDS	sRNA	-10.48			23.2	2		
htrL	sdsR	CDS	sRNA	-4.18			23.1	U		
arrS	fdhD.fdoG.IGR	cis_AS_with_trans_t	IGR	-15.3			23.1	3		
malS.bax.IGR	cyaR	IGR	sRNA	-3.25					23.1	1
metN	arcZ	CDS	sRNA	-9.15			4.3	U	23.0	2
wbbH	mgrR	CDS	sRNA	-2.69			23.0	U		
hypE	arcZ	CDS	sRNA	-8.16	1.9	4	22.4	3	22.7	3
tdcC	opgC.EST3UTR	CDS	3UTR	-2.19	22.6	1				
miaA.hfq.IGT	ibpB.EST3UTR	IGT	3UTR	-12.2	18.0	1	22.6	1	16.4	1
trmJ	fnrS	CDS	sRNA	-9.51	3.1	6	22.6	3	7.2	3
emrD.tisB.IGR	arcZ	IGR	sRNA	-7.7	14.2	U	14.4	2	22.5	3
mazF	micL	CDS	sRNA	-12.32	4.2	U	22.4	U	4.8	U
insL-1.AS	yieE	AS	CDS	-2.98	22.3	U				
iscR	fnrS	CDS	sRNA	-13.35	1.5	6	22.1	3	10.1	3
ppsR.ppsA.IGR	arcZ	IGR	sRNA	-7.08			21.9	2		
ahpF	fnrS	CDS	sRNA	-10.69	2.0	2	21.9	3	5.6	3
ymgA	rprA	CDS	sRNA	-8.12			21.7	1		
ytjA	cpxP.3UTR	CDS	3UTR	-5.58			21.7	3		
fabZ	rprA	CDS	sRNA	-6.87			3.6	U	21.6	1
tar	arcZ	CDS	sRNA	-17.59	1.6	6	21.5	3	2.9	3
fadA.fre.IGR	uhpT.EST3UTR	IGR	3UTR	-0.91					21.3	U
evgA	rprA	CDS	sRNA	-13.56			21.1	3		
ompC	fadA.fre.IGR	CDS	IGR	-11.39	1.0	U	21.0	2	3.5	3
ydbK	ryhB	CDS	sRNA	-8.28					20.7	2
rhaD.rhaA.IGT_AS	arcZ	AS	sRNA	-4.56			20.7	1		
aceK	yfjJ	CDS	CDS	-10.19			20.6	2		
G0-10698	mcaS	other-ncRNA	sRNA	-9.91	20.6	U	10.3	3	12.1	2
amtB	cyaR	CDS	sRNA	-7.17	20.1	U				
allR	grcA	CDS	CDS	-10.55			20.1	3		
yfjW	mgrR	CDS	sRNA	-13.77	20.1	U	10.7	U	10.3	U
yncL.EST3UTR	rprA	3UTR	sRNA	-13.48			19.9	1		
potA.pepT.IGR	mgrR	IGR	sRNA	-11.5			19.8	U		
dcuC	cyaR	CDS	sRNA	-9.19	2.9	6	15.1	U	19.8	2
ddlA	mgrR	CDS	sRNA	-9.9	13.5	2	19.0	1	19.7	3
mqsA	arcZ	CDS	sRNA	-15.51	5.8	2			19.7	1
yegT	arcZ	CDS	sRNA	-9.49	19.7	U	13.3	U	19.0	1
insAB-1	cyaR	CDS	sRNA	-9.35	8.1	6	19.7	3	16.8	3
leuT.proM.IGT_AS	micA	AS	sRNA	-2.68			19.6	1		
yfiP	uhpT.EST3UTR	CDS	3UTR	-6.46	17.4	U			19.6	1
ariR.ymgC.IGT	kgtP	IGT	CDS	-9.79			19.5	3		
yqjA	uhpT.EST3UTR	CDS	3UTR	-7.96	5.7	U	19.5	U	13.7	2
yjhI	cpxP.3UTR	CDS	3UTR	-7.54			19.5	1		
pitA	mgrR	CDS	sRNA	-10.93	6.7	6	5.3	3	19.4	3
cspF.ydfT.IGR	arcZ	IGR	sRNA	-5.23	0.6	U	19.4	2	2.4	2
kgtP	allE.EST3UTR	CDS	3UTR	-8.57			19.2	2		
ompT	fadA.fre.IGR	CDS	IGR	-7.95					19.2	U
gadE.mdtE.IGT (gadF)	yohP	IGT	CDS	-3.84			19.2	U		
ftsL	malG.3UTR	CDS	3UTR	-5.03			19.1	1	4.7	1
mqsR	arcZ	CDS	sRNA	-12.94			18.9	2	10.1	2
zitB	gcvB	CDS	sRNA	-13.08	8.6	1			18.9	2
yhjE	gcvB	CDS	sRNA	-17	7.2	U	18.8	U	12.1	2
fdnG	sucD.EST3UTR	CDS	3UTR	-4.06			18.8	1		
nrfA	rprA	CDS	sRNA	-4.89	18.8	1				
fepA	sdsR	CDS	sRNA	-10.71					18.8	3
marA	fnrS	CDS	sRNA	-12.06	4.8	4			18.7	3
kgtP.rrfG.IGR	sdsR	IGR	sRNA	-15.71			18.7	3		
hdhA	rybB	CDS	sRNA	-11.25			18.7	1		
ydjN	cpxP.3UTR	CDS	3UTR	-11.03			18.6	3	9.5	U
paaJ	ryhB	CDS	sRNA	-6.74					18.6	3
narW	cyaR	CDS	sRNA	-5.42			18.5	1		
ompA	rseX	CDS	sRNA	-13.68					18.3	U
tyrR	oxyS	CDS	sRNA	-13.53	18.2	U			15.4	1
manX	sgrS	CDS	sRNA	-7.74	15.3	6			18.1	3
gloB	mgrR	CDS	sRNA	-10.7	12.2	3	18.0	1	11.0	2
bax.AS	micA	AS	sRNA	-1.64			17.9	U		
sfsA	uhpT.EST3UTR	CDS	3UTR	-9.96			17.9	U	1.2	1
waaO	omrB	CDS	sRNA	-5.85			17.9	U	5.3	1
kgtP	xylE	CDS	CDS	-13.92			17.8	1		
yciF.AS	arcZ	AS	sRNA	-7.89	15.6	U	17.8	U		
